fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Subdomain,you.tube.com,,,,,,,,
Subdomain,yout.ube.com,,,,,,,,
Subdomain,youtu.be.com,,,,,,,,
Subdomain,youtub.e.com,,,,,,,,
Transposition,oyutube.com,54.235.212.68,,mail.oyutube.com,ns1.pql.net,,,,
Transposition,yuotube.com,192.184.12.62,,park-mx.above.com,ns2.above.com,,,,
Transposition,yotuube.com,,,,dns1.registrar-servers.com,,,,
Transposition,youutbe.com,69.162.80.53,,,ns1.hastydns.com,,,,
Transposition,youtbue.com,,,,ns1.googledomains.com,,,,
Transposition,youtueb.com,75.126.101.246,,,ns1cwy.name.com,,,,
Various,wwyoutube.com,93.115.28.104,,,ns1.rentondc.com,,,,
Various,wwwyoutube.com,66.7.149.187,,,name3.domainsredirect.com,,,,
Various,www-youtube.com,216.157.88.23,,,ns1.smtmdns.com,,,,
Various,youtubecom.com,,,,dns1.registrar-servers.com,,,,
